,strain,name
353,indica,black roses
354,indica,black russian
355,hybrid,black triangle
356,hybrid,black tuna
357,hybrid,black velvet
358,hybrid,black widow
359,hybrid,blackberry
360,indica,blackberry bubble
361,hybrid,blackberry chem og
362,hybrid,blackberry cobbler
363,indica,blackberry cream
364,sativa,blackberry diesel
365,hybrid,blackberry dream
366,hybrid,blackberry fire
367,indica,blackberry hashplant
368,sativa,blackberry haze
369,indica,blackberry kush
370,sativa,blackberry lime haze
371,hybrid,blackberry pie
372,indica,blackberry rhino
373,indica,blackberry snow cone
374,hybrid,blackberry trainwreck
375,indica,blackberry x blueberry
376,indica,blackwater
377,sativa,blaze
378,hybrid,blessings og
379,hybrid,bleugenius
380,hybrid,blissful wizard
381,hybrid,blizzard bush
382,hybrid,blob og
383,hybrid,blockhead
384,indica,bloos kloos
385,indica,blood orange kush
386,hybrid,bloodhound
387,hybrid,bloodwalker
388,hybrid,blowfish
389,sativa,blucifer
390,indica,blue afghani
391,indica,blue alien
392,indica,blue bastard
393,sativa,blue bayou
394,indica,blue blood
395,hybrid,blue boy
396,indica,blue buddha
397,hybrid,blue champange
398,indica,blue cheese
399,hybrid,blue cinex
400,indica,blue bastard
401,sativa,blue bayou
402,indica,blue blood
403,hybrid,blue boy
404,indica,blue buddha
405,hybrid,blue champange
406,indica,blue cheese
407,hybrid,blue cinex
408,hybrid,blue cookies
409,hybrid,blue crack
410,indica,blue diamond
411,hybrid,blue diesel
412,sativa,blue dot
413,hybrid,blue dragon
414,hybrid,blue dream
415,hybrid,blue dream cbd
416,indica,blue dynamite
417,hybrid,blue fire
418,hybrid,blue frost
419,hybrid,blue galaxy
420,indica,blue god
421,hybrid,blue goo
422,hybrid,blue hash
423,hybrid,blue hawaiian
424,hybrid,blue haze
425,hybrid,blue heron
426,hybrid,blue iguana
427,hybrid,blue ivy
428,sativa,blue j
429,hybrid,blue jay way
430,hybrid,blue kiss
431,indica,blue knight
432,indica,blue kripple
433,hybrid,blue kush
434,indica,blue lights
435,sativa,blue magic
436,hybrid,blue magoo
437,indica,blue monster
438,hybrid,blue moon rocks
439,indica,blue moonshine
440,sativa,blue mountain fire
441,indica,blue mystic
442,hybrid,blue nightmare
443,hybrid,blue nina
444,hybrid,blue og
445,hybrid,blue og sherbert
446,indica,blue ox
447,hybrid,blue persuasion
448,indica,blue power
449,hybrid,blue raspberry snow cone
450,hybrid,blue rhino
451,sativa,blue satellite
452,hybrid,blue sherbert
453,hybrid,blue sky
454,indica,blue steel
455,hybrid,blue tara
456,indica,blue power
457,hybrid,blue raspberry snow cone
458,hybrid,blue rhino
459,sativa,blue satellite
460,hybrid,blue sherbert
461,hybrid,blue sky
462,indica,blue steel
463,hybrid,blue tara
464,hybrid,blue thai
465,hybrid,blue train
466,hybrid,blue trane
467,hybrid,blue treat
468,hybrid,blue velvet
469,hybrid,blue venom
470,hybrid,blue widow
471,sativa,blue wolf
472,hybrid,blue wonder
473,hybrid,blue wreck
474,indica,blue zkittlez
475,indica,blue zombie
476,indica,blueberry
477,hybrid,blueberry ak
478,sativa,blueberry blast
479,hybrid,blueberry bomb
480,hybrid,blueberry cheesecake
481,hybrid,blueberry cookies
482,hybrid,blueberry diesel
483,sativa,blueberry dream
484,hybrid,blueberry essence
485,hybrid,blueberry hashplant
486,hybrid,blueberry haze
487,hybrid,blueberry headband
488,hybrid,blueberry jack
489,indica,blueberry kush
490,hybrid,blueberry lambsbread
491,hybrid,blueberry muffins
492,hybrid,blueberry og
493,hybrid,blueberry pancakes
494,hybrid,blueberry pie
495,hybrid,blueberry silvertip
496,indica,blueberry skunk
497,indica,blueberry space cake
498,hybrid,blueberry trainwreck
499,indica,blueberry triple og
500,indica,blueberry waltz
501,hybrid,blueberry yum yum
502,hybrid,blues
503,hybrid,blukashima
504,hybrid,bluniverse
505,hybrid,blurple
506,hybrid,blush
507,sativa,bob saget
508,hybrid,bodega bubblegum
509,indica,bog blue kush
510,indica,bog sour grape
511,hybrid,bogart
512,hybrid,bluniverse
513,hybrid,blurple
514,hybrid,blush
515,sativa,bob saget
516,hybrid,bodega bubblegum
517,indica,bog blue kush
518,indica,bog sour grape
519,hybrid,bogart
520,hybrid,boggle gum
521,hybrid,bogglegum
522,indica,bona dea
523,hybrid,bonkers
524,hybrid,booger
525,hybrid,boombaye
526,hybrid,bootlegger
527,hybrid,bootylicious
528,hybrid,bordello
529,hybrid,boss hogg
530,hybrid,boss og
531,hybrid,boysenberry
532,hybrid,brain candy
533,indica,brains damage
534,sativa,brainstorm haze
535,hybrid,brainwreck
536,indica,brand x
537,indica,brandywine
538,sativa,brazil amazonia
539,hybrid,brian berry black currant
540,hybrid,brian berry citrus blend
541,hybrid,brian berry cough
542,hybrid,brian berry honey lemon
543,indica,bright fire
544,hybrid,bright moments
545,hybrid,broke diesel
546,indica,bronze whaler
547,hybrid,brooklyn mango
548,hybrid,bruce banner
549,hybrid,bruce banner 3
550,indica,bubba berry
551,hybrid,bubba cheese auto
552,indica,bubba doja
553,hybrid,bubba fresh
554,indica,bubba hash
555,indica,bubba kush
556,hybrid,bubba kush 20
557,indica,bubba og
558,hybrid,bubba tom hayes
559,hybrid,bubba x skunk
560,indica,bubbas bitch
561,indica,bubbas gift
562,hybrid,bubble bomb
563,indica,bubble cheese
564,hybrid,bubble gum
565,hybrid,bubbleberry
566,indica,bubblegum kush
567,hybrid,bubblegun
568,indica,bubbas bitch
569,indica,bubbas gift
570,hybrid,bubble bomb
571,indica,bubble cheese
572,hybrid,bubble gum
573,hybrid,bubbleberry
574,indica,bubblegum kush
575,hybrid,bubblegun
576,hybrid,bubblicious
577,indica,buckeye purple
578,sativa,buddha haze
579,indica,buddha tahoe
580,hybrid,buddhas hand
581,indica,buddhas sister
582,sativa,buddhas tooth
583,sativa,buffalo bill
584,hybrid,bugatti og
585,indica,burkle
586,hybrid,burmese kush
587,hybrid,burnt cookies
588,indica,butter og
589,indica,butterscotch
590,sativa,buzz bomb
591,sativa,c13 haze
592,hybrid,c3
593,hybrid,c3po
594,hybrid,c4
595,hybrid,cbd blue shark
596,indica,cbd critical cure
597,indica,cbd critical mass
598,hybrid,cbd kush
599,sativa,cbd lilly
600,sativa,cbd mango haze
601,hybrid,cbd og
602,indica,cbd ox
603,sativa,cbd rich blessing
604,indica,cbd shark
605,indica,chr super og
606,hybrid,csg
607,hybrid,cabbage patch
608,hybrid,caboose
609,hybrid,cackleberry
610,indica,cactus
611,hybrid,cactus cooler
612,indica,cadillac cookies
613,indica,cadillac purple
614,hybrid,cali dragon
615,hybrid,cali gold
616,hybrid,cali jack
617,hybrid,cali kush
618,indica,california grapefruit
619,indica,california hash plant
620,sativa,california limes
621,hybrid,california love og
622,hybrid,california orange
623,hybrid,california sour
624,hybrid,cali jack
625,hybrid,cali kush
626,indica,california grapefruit
627,indica,california hash plant
628,sativa,california limes
629,hybrid,california love og
630,hybrid,california orange
631,hybrid,california sour
632,hybrid,california sour diesel
633,hybrid,calyx og
634,sativa,cambodian
635,sativa,cambodian haze
636,hybrid,candy apple
637,indica,candy cane
638,sativa,candy jack
639,sativa,candyland
640,hybrid,candyland cookies
641,hybrid,candyland x chernobyl
642,hybrid,canna tsu
643,sativa,canna wreck
644,indica,cannasutra
645,hybrid,cannadential
646,sativa,cannalope haze
647,hybrid,cannalope kush
648,hybrid,cannatonic
649,indica,capers
650,hybrid,capleton
651,hybrid,captain america og
652,hybrid,captains cake
653,hybrid,caramel cake
654,hybrid,caramel candy kush
655,hybrid,caramel kona coffee cookies
656,indica,caramel kona coffee kush
657,hybrid,caramelicious
658,indica,caramella
659,sativa,caramelo
660,hybrid,carl sagan
661,hybrid,carmel cough
667,indica,casper og
668,sativa,cat piss
669,hybrid,cataract kush
670,sativa,catfish
671,hybrid,cello sweet og
672,sativa,central american
673,sativa,cerebro haze
674,hybrid,chairman chem sou
675,hybrid,champagne diesel
676,hybrid,champagne kush
677,hybrid,charlie sheen
678,sativa,charlottes web
679,hybrid,cheese
680,sativa,central american
681,sativa,cerebro haze
682,hybrid,chairman chem sou
683,hybrid,champagne diesel
684,hybrid,champagne kush
685,hybrid,charlie sheen
686,sativa,charlottes web
687,hybrid,cheese
688,hybrid,cheese candy
689,hybrid,cheese quake
690,hybrid,cheeseburger
691,hybrid,cheesewreck
692,indica,chef kush
693,hybrid,chem berry diesel
694,hybrid,chem beyond diesel cbd
695,hybrid,chem crush
696,indica,chem dog
697,hybrid,chem jack
698,hybrid,chem jong ill
699,hybrid,chem kesey
700,indica,chem scout
701,hybrid,chem valley kush
702,sativa,chems sister
703,hybrid,chemwreck
704,hybrid,chemdawg sour diesel
705,hybrid,chemdawg
706,hybrid,chemdawg 4 x alien og kush
707,hybrid,chemdawg 4
708,hybrid,chemdawg 91
709,hybrid,chemmy jones
710,hybrid,chemnesia
711,indica,chemo
712,hybrid,cherwillie
713,hybrid,chernobyl
714,indica,cherries jubilee
715,hybrid,cherry ak 47
716,hybrid,cherry bomb
717,hybrid,cherry cookies
718,hybrid,cherry cream pie
719,hybrid,cherry diesel
720,hybrid,cherry durban poison
721,hybrid,cherry fire
722,hybrid,cherry fuel
723,hybrid,cherry grapefruit
724,indica,cherry kola
725,hybrid,cherry kush
726,hybrid,cherry limeade
727,indica,cherry mender
728,hybrid,cherry og
729,hybrid,cherry pie
730,hybrid,cherry pie kush
731,hybrid,cherry sauce
732,hybrid,cherry sherbet
733,hybrid,cherry skunk
734,hybrid,cherry slyder
735,hybrid,cherry thunder fuck
736,hybrid,cherry og
737,hybrid,cherry pie
738,hybrid,cherry pie kush
739,hybrid,cherry sauce
740,hybrid,cherry sherbet
741,hybrid,cherry skunk
742,hybrid,cherry slyder
743,hybrid,cherry thunder fuck
744,hybrid,cherry vanilla cookies
745,hybrid,cherry wine
746,hybrid,chicle
747,hybrid,chiesel
748,indica,china yunnan
749,hybrid,chiquita banana
750,hybrid,chloe
751,hybrid,chocoholic
752,hybrid,chocolate cheesecake
753,indica,chocolate chunk
754,sativa,chocolate diesel
755,hybrid,chocolate drop
756,sativa,chocolate fondue
757,indica,chocolate glue
758,hybrid,chocolate hashberry
759,indica,chocolate kush
760,hybrid,chocolate lava
761,indica,chocolate meringue
762,hybrid,chocolate mint og
763,indica,chocolate og
764,hybrid,chocolate rain
765,hybrid,chocolate sap
766,sativa,chocolate skunk
767,sativa,chocolate thai
768,sativa,chocolate thunder
769,hybrid,chocolate tonic
770,hybrid,chocolony
771,sativa,chocolope
772,hybrid,chocolope kush
773,hybrid,chong star
774,hybrid,chronic
775,indica,chronic thunder
776,hybrid,chuck og
777,hybrid,chuckys bride
778,hybrid,chunky diesel
779,hybrid,chupacabra
780,indica,church og
781,hybrid,cinderella 99
782,hybrid,cinderellas dream
783,hybrid,cindy haze
784,hybrid,cindy white
785,sativa,cinex
786,sativa,cirrus
787,hybrid,citradelic sunset
788,hybrid,citral glue
789,hybrid,citral skunk
790,hybrid,citrix
791,hybrid,citrus kush
792,hybrid,cindy white
793,sativa,cinex
794,sativa,cirrus
795,hybrid,citradelic sunset
796,hybrid,citral glue
797,hybrid,citral skunk
798,hybrid,citrix
799,hybrid,citrus kush
800,sativa,citrus punch
801,hybrid,citrus rush
802,hybrid,citrus sap
803,hybrid,citrus sunshine haze
804,hybrid,city of god
805,sativa,clementine
806,hybrid,clementine kush
807,hybrid,clementines terpentine
808,hybrid,clockwork orange
809,hybrid,cloud 9
810,hybrid,cloudcap
811,indica,club 69
812,hybrid,cluster bomb
813,hybrid,cluster funk
814,hybrid,cobbler
815,hybrid,cobra lips
816,hybrid,cocoa kush
817,hybrid,coconut oil
818,hybrid,cold creek kush
819,hybrid,colin og s1
820,hybrid,collie man kush
821,sativa,colombian gold
822,sativa,colombian mojito
823,indica,colorado bubba
824,hybrid,colorado chem
825,hybrid,colorado chem rbx3
826,indica,colorado clementines
827,hybrid,comfortably dumb
828,indica,commerce city kush
829,hybrid,concord cream
830,hybrid,concord grape blockhead
831,indica,confidential cheese
832,indica,confidential cookies
833,hybrid,confidential wreck
834,sativa,congo
835,hybrid,connie chung
836,indica,conspiracy kush
837,hybrid,cookie breath
838,hybrid,cookie dough
839,hybrid,cookie jar
840,indica,cookie monster
841,hybrid,cookie puss
842,hybrid,cookie wreck
843,indica,cookies kush
844,hybrid,cookies and cream
845,hybrid,cookies and dream
846,indica,copper kush
847,indica,corleone kush
848,indica,cookie monster
849,hybrid,cookie puss
850,hybrid,cookie wreck
851,indica,cookies kush
852,hybrid,cookies and cream
853,hybrid,cookies and dream
854,indica,copper kush
855,indica,corleone kush
856,hybrid,corleone kush the don cut
857,indica,cornbread
858,sativa,cosmic collision
859,hybrid,cotton candy kush
860,hybrid,cotton purple chem
861,hybrid,cougar milk
862,hybrid,cowboy kush
863,hybrid,coyote art
864,sativa,cracker jack
865,hybrid,crater lake
866,hybrid,crazy miss hyde
867,indica,cream caramel
868,hybrid,crimea blue
869,hybrid,critical 47
870,hybrid,critical bilbo
871,hybrid,critical cheese
872,hybrid,critical haze
873,indica,critical hog
874,hybrid,critical jack
875,sativa,critical kali mist
876,indica,critical kush
877,indica,critical mass
878,hybrid,critical plus
879,indica,critical plus 20
880,indica,critical sensi star
881,hybrid,critical skunk
882,hybrid,critical widow
883,hybrid,critters cookies
884,hybrid,crocketts haze
885,hybrid,cronuts
886,indica,crosswalker
887,indica,crouching tiger hidden alien
888,indica,crown og
889,indica,crown royale
890,sativa,crumbled lime
891,hybrid,crunch berry kush
892,hybrid,crypt
893,sativa,crystal coma
894,hybrid,crystal gayle
895,indica,crystalberry
896,indica,cuvee
897,hybrid,cypress og
898,sativa,dj andy williams
899,indica,dj short blueberry
900,hybrid,dj smoke
901,hybrid,dagwood
902,hybrid,dairy queen
903,indica,dakini kush
904,indica,cuvee
905,hybrid,cypress og
906,sativa,dj andy williams
907,indica,dj short blueberry
908,hybrid,dj smoke
909,hybrid,dagwood
910,hybrid,dairy queen
911,indica,dakini kush
912,sativa,damn sour
913,hybrid,damnesia
914,sativa,dance world
915,hybrid,dancehall
916,indica,dank schrader
917,hybrid,dank sinatra
918,indica,double d
919,hybrid,dark blue dream
920,hybrid,dark shadow haze
921,indica,dark side of the moon
922,indica,dark star
923,indica,darkside og
924,indica,darth vader og
925,hybrid,dawgs waltz
926,hybrid,dawgfather og
927,hybrid,day tripper
928,hybrid,daywalker
929,hybrid,dedutch
930,hybrid,deadhead og
931,hybrid,deadlights
932,indica,deadwood
933,indica,death bubba
934,hybrid,death by cake og
935,indica,death star
936,indica,deathstar og
937,hybrid,dedoverde haze
938,hybrid,deep breath
939,hybrid,deep cheese
940,indica,deep chunk
941,indica,deep purple
942,indica,deep sleep
943,sativa,delahaze
944,indica,denver maple
945,hybrid,destar bx
946,hybrid,desert diesel
947,hybrid,desert star
948,hybrid,designer og
949,sativa,destroyer
950,indica,devil fruit
951,sativa,devils tit
952,hybrid,diabla
953,indica,diablo
954,indica,diamond og
955,hybrid,diamond socks
956,hybrid,diamond valley kush
957,hybrid,diesel dough
958,hybrid,diesel duff
959,hybrid,diesel glue
960,hybrid,diabla
961,indica,diablo
962,indica,diamond og
963,hybrid,diamond socks
964,hybrid,diamond valley kush
965,hybrid,diesel dough
966,hybrid,diesel duff
967,hybrid,diesel glue
968,hybrid,dieseltonic
969,indica,digweed
970,hybrid,dinachem
971,hybrid,dirt nap
972,sativa,dirty girl
973,indica,dirty old bastard
974,hybrid,dirty widow
975,hybrid,disney blue
976,hybrid,divina obscura
977,hybrid,dizzy og
978,sativa,django
979,hybrid,do over og
980,indica,do si dos
981,hybrid,doc holliday
982,sativa,doctor doctor
983,hybrid,doctor jamaica
984,hybrid,dog face
985,hybrid,dog shit
986,hybrid,dogwalker og
987,indica,dolla sign og kush
988,indica,domino
989,hybrid,don carlos
990,hybrid,don shula
991,hybrid,dons ghost
992,hybrid,donegal
993,indica,donkey butter
994,hybrid,donna og
995,hybrid,doobiebird daydream
996,hybrid,doox 9e52aaec47524b6088792c10b9d341d0
997,sativa,doox
998,hybrid,dopium
999,indica,dorit
1000,hybrid,dosi woah r1
1001,hybrid,double barrel og
1002,sativa,double diesel
1003,hybrid,double dream
1004,hybrid,double dutch
1005,hybrid,double lemon pie
1006,indica,double mint
1007,indica,double og
1008,indica,double purple doja
1009,hybrid,double tangie banana
1010,indica,double tap
1011,sativa,dougs varin
1012,hybrid,dr bubbles
1013,hybrid,dr clemenstein
1014,hybrid,dr feelgood
1015,indica,dr funk
1016,indica,double purple doja
1017,hybrid,double tangie banana
1018,indica,double tap
1019,sativa,dougs varin
1020,hybrid,dr bubbles
1021,hybrid,dr clemenstein
1022,hybrid,dr feelgood
1023,indica,dr funk
1024,hybrid,dr greenthumbs em dog
1025,sativa,dr grinspoon
1026,hybrid,dr quantum
1027,hybrid,dr who
1028,hybrid,dragon fruit
1029,hybrid,dragon og
1030,hybrid,dragon punch 70d5bf53968c4346905edb7cf4323ec8
1031,hybrid,dragon punch
1032,hybrid,dragons breath
1033,hybrid,dreadlock
1034,sativa,dream beaver
1035,indica,dream berry
1036,hybrid,dream girl
1037,hybrid,dream lotus
1038,hybrid,dream machine
1039,hybrid,dream police
1040,hybrid,dream queen
1041,hybrid,dream star
1042,hybrid,dreamcatcher
1043,hybrid,dreamers glass
1044,sativa,drizella
1045,hybrid,duct tape
1046,hybrid,duke nukem
1047,hybrid,durban berry
1048,hybrid,durban cheese
1049,sativa,durban cookies
1050,sativa,durban poison
1051,sativa,durban princess
1052,indica,durga mata
1053,hybrid,dutch 47
1054,hybrid,dutch crunch
1055,sativa,dutch dragon
1056,hybrid,dutch dynasty
1057,hybrid,dutch hawaiian f26d85d8964844c0a3e447bceefefa9f
1058,sativa,dutch hawaiian
1059,sativa,dutch haze
1060,indica,dutch kush
1061,hybrid,dutch queen
1062,hybrid,dutch thunder fuck
1063,hybrid,dutch treat
1064,hybrid,dutch treat haze
1065,hybrid,dutchberry
1066,indica,dynamite
1067,hybrid,eagle bill
1068,indica,early girl
1069,hybrid,early glue rbx1
1070,hybrid,early miss
1071,sativa,early pearl
1072,hybrid,dutch treat haze
1073,hybrid,dutchberry
1074,indica,dynamite
1075,hybrid,eagle bill
1076,indica,early girl
1077,hybrid,early glue rbx1
1078,hybrid,early miss
1079,sativa,early pearl
1080,hybrid,early skunk
1081,hybrid,earth og
1082,hybrid,earthquake
1083,hybrid,earthshaker og
1084,sativa,east coast alien
1085,sativa,east coast sour diesel
1086,indica,eastern european
1087,hybrid,easy bud
1088,hybrid,easy peezy
1089,hybrid,ebola 7
1090,hybrid,ecto cooler
1091,hybrid,ed rosenthal super bud
1092,indica,edelweiss
1093,hybrid,egyptian musk
1094,indica,egyptian royalty 1
1095,hybrid,el chapo
1096,indica,el chapo og
1097,indica,el jeffe
1098,hybrid,el nino
1099,hybrid,el perro
1100,hybrid,el na
1101,hybrid,elderberry kush
1102,indica,electric black mamba
1103,hybrid,electric kool aid
1104,sativa,electric lemon g
1105,sativa,electric lemonade
1106,hybrid,elektra
1107,sativa,elephant
1108,hybrid,elevated og
1109,hybrid,elmers glue
1110,sativa,elphinstone
1111,hybrid,elvis
1112,sativa,emerald jack
1113,indica,emerald og
1114,hybrid,emperor cookie dough
1115,indica,endless sky
1116,indica,enemy of the state
1117,indica,enigma
1118,indica,eran almog
1119,indica,erdpurt
1120,indica,erez
1121,indica,ether
1122,sativa,ethiopian
1123,hybrid,ethos apex
1124,hybrid,ethos hash plant bx1
1125,sativa,euphoria
1126,hybrid,eugene cream
1127,hybrid,euphoria cookies
1128,indica,erez
1129,indica,ether
1130,sativa,ethiopian
1131,hybrid,ethos apex
1132,hybrid,ethos hash plant bx1
1133,sativa,euphoria
1134,hybrid,eugene cream
1135,hybrid,euphoria cookies
1136,indica,everlast
1137,hybrid,exodus cheese
1138,indica,extreme cream
1139,indica,extreme og
1140,hybrid,f 13
1141,sativa,f 13 throwback
1142,indica,fn louzer
1143,hybrid,f cut og
1144,hybrid,fpog
1145,hybrid,face off bx2
1146,indica,face off og
1147,hybrid,face on fire
1148,sativa,faded glory
1149,hybrid,fall 97
1150,indica,fallen angel
1151,hybrid,false teeth
1152,hybrid,fast eddy
1153,hybrid,fat axl
1154,hybrid,fat nelson
1155,indica,fat purple
1156,hybrid,fauxsido
1157,indica,faygo red pop
1158,sativa,fighting buddha
1159,hybrid,fire alien kush
1160,hybrid,fire alien master
